subject_id,raw_dimension_x,raw_dimension_y,raw_dimension_z,raw_voxel_size_x,raw_voxel_size_y,raw_voxel_size_z,raw_max_b,raw_neighbor_corr,raw_num_bad_slices,raw_num_directions,raw_coherence_index,raw_incoherence_index,t1_dimension_x,t1_dimension_y,t1_dimension_z,t1_voxel_size_x,t1_voxel_size_y,t1_voxel_size_z,t1_max_b,t1_neighbor_corr,t1_num_bad_slices,t1_num_directions,t1_coherence_index,t1_incoherence_index,mean_fd,max_fd,max_rotation,max_translation,max_rel_rotation,max_rel_translation,t1_dice_distance,file_name,session_id,task_id,dir_id,acq_id,space_id,rec_id,run_id,participant_id
NDARUX340FYC,104.0,104.0,72.0,1.79808,1.79808,1.8,2000.0,0.74511,0.0,129.0,1465.57,17691.1,108.0,129.0,109.0,1.8,1.8,1.8,2000.0,0.871391,0.0,129.0,3660.65,24286.8,0.7145016714,3.0468283611,0.0128889559,1.236852088,0.0105297968,1.5985831769,0.0280189467,sub-NDARUX340FYC_ses-HBNsiteRU_acq-64dir,ses-HBNsiteRU,,,acq-64dir,,,,sub-NDARUX340FYC
NDARUX408KJ1,104.0,104.0,72.0,1.79808,1.79808,1.8,2000.0,0.719388,0.0,129.0,611.093,9734.51,108.0,129.0,109.0,1.8,1.8,1.8,2000.0,0.928117,1.0,129.0,1744.49,14884.6,0.1134307636,0.4556075128,0.007711451,0.1471290732,0.003906842,0.1312743183,0.0256682871,sub-NDARUX408KJ1_ses-HBNsiteCBIC_acq-64dir,ses-HBNsiteCBIC,,,acq-64dir,,,,sub-NDARUX408KJ1
NDARUX534HZQ,104.0,104.0,72.0,1.79808,1.79808,1.8,2000.0,0.714998,70.0,129.0,984.239,15152.8,108.0,129.0,109.0,1.8,1.8,1.8,2000.0,0.902779,0.0,129.0,1873.81,16028.6,0.9158996536,4.7751693395,0.0494426526,2.030863211,0.043752389,2.1857349354,0.030403136,sub-NDARUX534HZQ_ses-HBNsiteCBIC_acq-64dir,ses-HBNsiteCBIC,,,acq-64dir,,,,sub-NDARUX534HZQ
NDARUX818MGE,104.0,104.0,72.0,1.79808,1.79808,1.8,2000.0,0.548634,410.0,129.0,1817.81,26804.4,108.0,129.0,109.0,1.8,1.8,1.8,2000.0,0.785112,0.0,129.0,4326.04,29767.1,1.1836247285,6.3596949575,0.0445649214,5.271033401,0.0377203901,2.9279808065,0.0326243897,sub-NDARUX818MGE_ses-HBNsiteCBIC_acq-64dir,ses-HBNsiteCBIC,,,acq-64dir,,,,sub-NDARUX818MGE
NDARUX885LMW,104.0,104.0,72.0,1.79808,1.79808,1.8,2000.0,0.709687,2.0,129.0,843.19,13803.3,108.0,129.0,109.0,1.8,1.8,1.8,2000.0,0.917656,0.0,129.0,1210.92,10371.6,0.314445461,2.5710718301,0.0254367739,1.603992117,0.026309968,1.1258361744,0.0261042046,sub-NDARUX885LMW_ses-HBNsiteCBIC_acq-64dir,ses-HBNsiteCBIC,,,acq-64dir,,,,sub-NDARUX885LMW
NDARUX886JLM,104.0,104.0,72.0,1.79808,1.79808,1.8,2000.0,0.71342,77.0,129.0,2451.83,33429.0,108.0,129.0,109.0,1.8,1.8,1.8,2000.0,0.810987,0.0,129.0,1760.72,13576.1,0.8341362642,7.9921636826,0.1236043498,3.217054408,0.0550258011,2.0265001659,0.0322839597,sub-NDARUX886JLM_ses-HBNsiteRU_acq-64dir,ses-HBNsiteRU,,,acq-64dir,,,,sub-NDARUX886JLM
NDARUY024RVP,104.0,104.0,72.0,1.79808,1.79808,1.8,2000.0,0.869162,11.0,129.0,851.732,12884.8,108.0,129.0,109.0,1.8,1.8,1.8,2000.0,0.94463,0.0,129.0,2152.49,18294.1,0.3337537279,1.9798230015,0.0242254566,0.6172992604,0.0193137452,0.5095075706,0.0332470459,sub-NDARUY024RVP_ses-HBNsiteCUNY_acq-64dir,ses-HBNsiteCUNY,,,acq-64dir,,,,sub-NDARUY024RVP
NDARUY339ZLN,104.0,104.0,72.0,1.79808,1.79808,1.8,2000.0,0.658122,148.0,129.0,2020.06,27171.5,108.0,129.0,109.0,1.8,1.8,1.8,2000.0,0.843587,1.0,129.0,2929.46,24549.1,1.5803487583,6.9193404545,0.0704235434,7.213809917,0.046174353,3.291374619,0.0298600424,sub-NDARUY339ZLN_ses-HBNsiteCBIC_acq-64dir,ses-HBNsiteCBIC,,,acq-64dir,,,,sub-NDARUY339ZLN
NDARUY379PT5,104.0,104.0,72.0,1.79808,1.79808,1.8,2000.0,0.636359,103.0,129.0,2175.36,28132.8,108.0,129.0,109.0,1.8,1.8,1.8,2000.0,0.787996,0.0,129.0,3603.28,29568.6,1.4311802603,4.2623229828,0.047637064,1.924012713,0.0403775596,1.5658286142,0.0353579552,sub-NDARUY379PT5_ses-HBNsiteRU_acq-64dir,ses-HBNsiteRU,,,acq-64dir,,,,sub-NDARUY379PT5
NDARUY549PGQ,104.0,104.0,72.0,1.79808,1.79808,1.8,2000.0,0.634882,145.0,129.0,1797.48,27404.2,108.0,129.0,109.0,1.8,1.8,1.8,2000.0,0.849197,0.0,129.0,2202.35,18692.5,1.2360591043,6.4427733636,0.0565160327,3.473540009,0.0351816025,2.4886726422,0.0292645431,sub-NDARUY549PGQ_ses-HBNsiteCBIC_acq-64dir,ses-HBNsiteCBIC,,,acq-64dir,,,,sub-NDARUY549PGQ
NDARUY730ANT,104.0,104.0,72.0,1.79808,1.79808,1.8,2000.0,0.725854,1.0,129.0,1289.93,18633.7,108.0,129.0,109.0,1.8,1.8,1.8,2000.0,0.849511,0.0,129.0,2010.57,18241.6,0.9968925164,5.6642543204,0.0527277812,1.218062177,0.0609782953,0.9663642913,0.0258859771,sub-NDARUY730ANT_ses-HBNsiteRU_acq-64dir,ses-HBNsiteRU,,,acq-64dir,,,,sub-NDARUY730ANT
NDARUY876VL1,96.0,96.0,72.0,2.0,2.0,2.0,2000.0,0.831347,0.0,129.0,1123.76,14289.7,108.0,129.0,109.0,1.8,1.8,1.8,2000.0,0.917069,0.0,129.0,3944.92,27834.8,0.4959291729,1.1280071886,0.0060313456,0.7756959875,0.0065531491,0.9180766294,0.0305913161,sub-NDARUY876VL1_ses-HBNsiteSI_acq-64dir,ses-HBNsiteSI,,,acq-64dir,,,,sub-NDARUY876VL1
NDARUZ200NRJ,104.0,104.0,72.0,1.79808,1.79808,1.8,2000.0,0.728753,67.0,129.0,1033.09,16535.1,108.0,129.0,109.0,1.8,1.8,1.8,2000.0,0.895184,0.0,129.0,2302.84,20536.5,0.5644385105,6.4088345671,0.046164237,2.19317227,0.052298421,1.5334409825,0.025854655,sub-NDARUZ200NRJ_ses-HBNsiteCBIC_acq-64dir,ses-HBNsiteCBIC,,,acq-64dir,,,,sub-NDARUZ200NRJ
NDARUZ206DRV,104.0,104.0,72.0,1.79808,1.79808,1.8,2000.0,0.547239,306.0,129.0,2493.85,28979.8,108.0,129.0,109.0,1.8,1.8,1.8,2000.0,0.65835,6.0,129.0,3392.15,23837.9,1.4933949042,7.5919936938,0.0906091705,3.796145323,0.0475175716,3.0582962742,0.0553413567,sub-NDARUZ206DRV_ses-HBNsiteRU_acq-64dir,ses-HBNsiteRU,,,acq-64dir,,,,sub-NDARUZ206DRV
NDARUZ368BT4,104.0,104.0,72.0,1.79808,1.79808,1.8,2000.0,0.818944,0.0,129.0,897.737,14019.0,108.0,129.0,109.0,1.8,1.8,1.8,2000.0,0.932825,0.0,129.0,2140.32,17197.6,0.2333706063,2.4990967854,0.0300958753,0.8240303752,0.0189894466,1.0882604874,0.7150983014,sub-NDARUZ368BT4_ses-HBNsiteCBIC_acq-64dir,ses-HBNsiteCBIC,,,acq-64dir,,,,sub-NDARUZ368BT4
NDARVA930UA3,104.0,104.0,72.0,1.79808,1.79808,1.8,2000.0,0.77611,2.0,129.0,1231.79,17150.4,108.0,129.0,109.0,1.8,1.8,1.8,2000.0,0.867669,0.0,129.0,2261.41,20132.6,0.5193978609,4.2132386866,0.0149556845,2.820717131,0.0195989618,2.313147171,0.0259456974,sub-NDARVA930UA3_ses-HBNsiteRU_acq-64dir,ses-HBNsiteRU,,,acq-64dir,,,,sub-NDARVA930UA3
NDARVB012UWL,104.0,104.0,72.0,1.79808,1.79808,1.8,2000.0,0.743584,0.0,129.0,1008.61,14890.1,108.0,129.0,109.0,1.8,1.8,1.8,2000.0,0.908463,0.0,129.0,2679.9,20956.1,0.0710311266,0.2413006367,0.000980353,0.2854536502,0.0009889693,0.1241430918,0.0353760979,sub-NDARVB012UWL_ses-HBNsiteCBIC_acq-64dir,ses-HBNsiteCBIC,,,acq-64dir,,,,sub-NDARVB012UWL
NDARVB04TJA,96.0,96.0,72.0,2.0,2.0,2.0,2000.0,0.741365,49.0,129.0,1626.98,20440.7,108.0,129.0,109.0,1.8,1.8,1.8,2000.0,0.895373,0.0,129.0,4296.87,30084.4,0.9459614345,6.6886517039,0.0310433973,3.039174637,0.0236199214,3.959441198,0.0327193737,sub-NDARVB04TJA_ses-HBNsiteSI_acq-64dir,ses-HBNsiteSI,,,acq-64dir,,,,sub-NDARVB04TJA
NDARVB151GXF,104.0,104.0,72.0,1.79808,1.79808,1.8,2000.0,0.703375,20.0,129.0,1725.15,26531.1,108.0,129.0,109.0,1.8,1.8,1.8,2000.0,0.87767,1.0,129.0,3344.75,29254.5,0.3856754694,3.5248402687,0.0462914705,1.0162031,0.0414787927,0.6893281594,0.0471199365,sub-NDARVB151GXF_ses-HBNsiteCBIC_acq-64dir,ses-HBNsiteCBIC,,,acq-64dir,,,,sub-NDARVB151GXF
NDARVB587ECK,104.0,104.0,72.0,1.79808,1.79808,1.8,2000.0,0.808133,0.0,129.0,866.772,12177.5,108.0,129.0,109.0,1.8,1.8,1.8,2000.0,0.913009,0.0,129.0,2795.25,24447.2,0.1696677765,1.3914739645,0.0136971697,0.8716064815,0.0080004192,0.4983622904,0.0285980113,sub-NDARVB587ECK_ses-HBNsiteCBIC_acq-64dir,ses-HBNsiteCBIC,,,acq-64dir,,,,sub-NDARVB587ECK
NDARVB607WW4,96.0,96.0,72.0,2.0,2.0,2.0,2000.0,0.805083,0.0,129.0,1279.03,15392.5,108.0,129.0,109.0,1.8,1.8,1.8,2000.0,0.8974,0.0,129.0,4559.37,30758.0,0.5445063989,1.2513925715,0.0040835161,0.9215579435,0.0064464721,0.91663993,0.0283308478,sub-NDARVB607WW4_ses-HBNsiteSI_acq-64dir,ses-HBNsiteSI,,,acq-64dir,,,,sub-NDARVB607WW4
